map
	ez_nostalgia
end

values
	2.08123300,235.07020000,17.08080000,40.35909000,72.08012000,354.08030000,0,0,0,1,
	2.09055600,235.03810000,16.74160000,40.53206000,72.08012000,354.08030000,0,0,0,1,
	2.09998100,235.03810000,16.74160000,40.53206000,72.08012000,354.08030000,0,0,0,1,
	2.10619400,235.00610000,16.39600000,40.70502000,72.08012000,354.08030000,0,0,0,1,
	2.11913800,235.00610000,16.39600000,40.70502000,72.08012000,354.08030000,0,0,0,1,
	2.12443100,235.00610000,16.39600000,40.70502000,72.08012000,354.08030000,0,0,0,1,
	2.12895100,234.97410000,16.04400000,40.87799000,72.08012000,354.08030000,0,0,0,1,
	2.13573100,234.97410000,16.04400000,40.87799000,72.08012000,354.08030000,0,0,0,1,
	2.14366000,234.97410000,16.04400000,40.87799000,72.08012000,354.08030000,0,0,0,1,
	2.15205700,234.94210000,15.68560000,41.05096000,72.08009000,354.16030000,0,0,0,1,
	2.15922000,234.94210000,15.68560000,41.05096000,72.08010000,354.24030000,0,0,0,1,
	2.17335400,234.91010000,15.32080000,41.22392000,72.08009000,354.32030000,0,0,1,1,
	2.18771000,234.87810000,14.94960000,41.39689000,72.00009000,354.72030000,0,0,1,0,
	2.20271100,234.87810000,14.94960000,41.39689000,71.92010000,355.20030000,0,0,1,0,
	2.20899500,234.87930000,14.57200000,41.57260000,71.92010000,355.84030000,0,0,1,0,
	2.21667100,234.87930000,14.57200000,41.57260000,71.84010000,356.16030000,0,0,1,0,
	2.22607200,234.88300000,14.18800000,41.74846000,71.84010000,356.64030000,0,0,1,0,
	2.23912300,234.88300000,14.18800000,41.74846000,71.76009000,357.28030000,0,0,1,0,
	2.24662100,234.89210000,13.79760000,41.92450000,71.68008000,358.40030000,0,0,1,0,
	2.25799500,234.89210000,13.79760000,41.92450000,71.68009000,359.12030000,0,0,1,0,
	2.26549900,234.90710000,13.40080000,42.10056000,71.60005000,0.32029690,0,0,1,0,
	2.27314400,234.90710000,13.40080000,42.10056000,71.60011000,1.20029700,0,0,1,0,
	2.28382800,234.90710000,13.40080000,42.10056000,71.52010000,2.00029700,0,0,1,0,
	2.29319400,234.93120000,12.99760000,42.27626000,71.52010000,3.28029700,0,0,1,0,
	2.30709100,234.95900000,12.58801000,42.45166000,71.52010000,4.48029700,0,0,1,0,
	2.32173100,234.95900000,12.58801000,42.45166000,71.52007000,6.32029800,0,0,1,0,
	2.33327800,235.00000000,12.17201000,42.62526000,71.52007000,8.80029900,0,0,1,0,
