map
	ez_nostalgia
end

values
	0.96199210,13.76323000,8.80480100,347.57310000,36.29998000,31.05000000,0,0,1,1,
	0.96714870,13.83339000,8.83860100,347.71330000,36.29998000,32.25000000,0,0,1,1,
	0.97347650,13.83339000,8.83860100,347.71330000,36.29998000,33.52501000,0,0,1,1,
	0.98027020,13.83339000,8.83860100,347.71330000,36.37498000,34.72500000,0,0,1,1,
	0.98558010,13.83339000,8.83860100,347.71330000,36.37498000,36.37500000,0,0,0,1,
	0.99445100,13.90355000,8.86600100,347.85360000,36.44998000,37.42500000,0,0,0,1,
	1.00130800,13.90355000,8.86600100,347.85360000,36.52498000,38.85000000,0,0,0,1,
	1.00708600,13.97371000,8.88700100,347.99390000,36.52498000,39.90000000,0,0,0,1,
	1.01352000,13.97371000,8.88700100,347.99390000,36.59999000,40.80001000,0,0,0,1,
	1.01957300,13.97371000,8.88700100,347.99390000,36.67498000,41.69999000,0,0,0,1,
	1.02509500,13.97371000,8.88700100,347.99390000,36.67498000,42.30000000,0,0,0,1,
	1.03098600,14.04387000,8.90160100,348.13420000,36.74998000,42.75000000,0,0,0,1,
	1.03820000,14.04387000,8.90160100,348.13420000,36.82498000,43.20000000,0,0,0,1,
	1.04285500,14.04387000,8.90160100,348.13420000,36.89999000,43.65000000,0,0,0,1,
	1.04744400,14.11402000,8.90980100,348.27450000,36.97498000,43.87500000,0,0,0,1,
	1.05298900,14.11402000,8.90980100,348.27450000,37.04998000,44.02501000,0,0,0,1,
	1.05663100,14.11402000,8.90980100,348.27450000,37.04999000,44.10001000,0,0,0,1,
	1.06069100,14.11402000,8.90980100,348.27450000,37.12499000,44.17501000,0,0,0,1,
	1.06579500,14.11402000,8.90980100,348.27450000,37.12499000,44.17501000,0,0,0,1,
	1.06900600,14.18418000,8.91160000,348.41480000,37.19999000,44.25000000,0,0,0,1,
	1.07524200,14.18418000,8.91160000,348.41480000,37.19999000,44.25000000,0,0,0,1,
	1.08019600,14.18418000,8.91160000,348.41480000,37.27499000,44.25001000,0,0,0,1,
	1.08328200,14.18418000,8.91160000,348.41480000,37.42499000,44.17501000,0,0,0,1,
	1.08910900,14.25434000,8.90700100,348.55510000,37.42499000,44.17501000,0,0,0,1,
	1.09494900,14.25434000,8.90700100,348.55510000,37.57499000,44.10000000,0,0,0,1,
	1.10113100,14.25434000,8.90700100,348.55510000,37.64999000,43.95000000,0,0,0,1,
	1.10603100,14.25434000,8.90700100,348.55510000,37.79999000,43.80000000,0,0,0,1,
	1.11100500,14.32450000,8.89600100,348.69540000,37.94999000,43.65000000,0,0,0,1,
	1.11676300,14.32450000,8.89600100,348.69540000,38.10000000,43.42500000,0,0,0,1,
	1.12274800,14.32450000,8.89600100,348.69540000,38.17500000,43.19999000,0,0,0,1,
	1.12848600,14.39466000,8.87860100,348.83570000,38.32500000,42.90000000,0,0,0,1,
	1.13448300,14.39466000,8.87860100,348.83570000,38.47500000,42.60000000,0,0,0,1,
	1.13890500,14.39466000,8.87860100,348.83570000,38.62500000,42.30001000,0,0,0,1,
	1.14536300,14.39466000,8.87860100,348.83570000,38.70001000,42.00001000,0,0,0,1,
	1.15062400,14.46481000,8.85480100,348.97600000,38.92500000,41.47500000,0,0,0,1,
	1.15661800,14.46481000,8.85480100,348.97600000,39.00000000,41.10000000,0,0,0,1,
	1.16237300,14.46481000,8.85480100,348.97600000,39.15001000,40.72500000,0,0,0,1,
	1.16790800,14.53497000,8.82460100,349.11620000,39.30000000,40.35000000,0,0,0,1,
	1.17294100,14.53497000,8.82460100,349.11620000,39.45001000,39.90000000,0,0,0,1,
	1.17903700,14.53497000,8.82460100,349.11620000,39.60001000,39.45000000,0,0,0,1,
	1.18591600,14.53497000,8.82460100,349.11620000,39.75001000,39.00000000,0,0,0,1,
	1.19177000,14.60513000,8.78800100,349.25650000,39.90001000,38.47500000,0,0,0,1,
	1.19847800,14.60513000,8.78800100,349.25650000,40.12501000,38.02499000,0,0,0,1,
	1.20569700,14.60513000,8.78800100,349.25650000,40.27501000,37.57500000,0,0,0,1,
	1.21171100,14.67529000,8.74500100,349.39680000,40.50001000,36.90000000,0,0,0,1,
	1.21783400,14.67529000,8.74500100,349.39680000,40.65001000,36.45000000,0,0,0,1,
	1.22458600,14.67529000,8.74500100,349.39680000,40.80002000,35.85000000,0,0,0,1,
	1.23087900,14.74545000,8.69560100,349.53710000,41.02501000,35.25000000,0,0,0,1,
	1.23836200,14.74545000,8.69560100,349.53710000,41.17502000,34.72500000,0,0,0,1,
	1.24761100,14.81560000,8.63980000,349.67740000,41.40001000,34.05000000,0,0,0,1,
	1.25555600,14.81560000,8.63980000,349.67740000,41.62501000,33.14999000,0,0,0,1,
	1.26377700,14.81560000,8.63980000,349.67740000,41.85002000,32.32500000,0,0,0,1,
	1.27649400,14.88549000,8.57760000,349.81780000,42.00000000,31.57500000,0,0,0,1,
	1.28434700,14.88549000,8.57760000,349.81780000,42.30000000,30.07500000,0,0,0,1,
	1.29002100,14.95004000,8.50900100,349.96130000,42.45002000,29.32500000,0,0,0,1,
	1.29636900,14.95004000,8.50900100,349.96130000,42.52501000,28.80000000,0,0,0,1,
	1.30200400,14.95004000,8.50900100,349.96130000,42.67501000,27.97500000,0,0,0,1,
	1.30806900,15.01007000,8.43400100,350.10720000,42.75001000,27.45000000,0,0,0,1,
	1.31280700,15.01007000,8.43400100,350.10720000,42.90002000,26.85000000,0,0,0,1,
	1.31895000,15.01007000,8.43400100,350.10720000,42.97502000,26.32500000,0,0,0,1,
	1.32659400,15.01007000,8.43400100,350.10720000,43.05001000,25.72499000,0,0,0,1,
	1.33263300,15.06416000,8.35260100,350.25600000,43.20002000,25.05000000,0,0,0,1,
	1.33891300,15.06416000,8.35260100,350.25600000,43.35003000,24.37500000,0,0,0,1,
	1.34493600,15.06416000,8.35260100,350.25600000,43.42503000,23.85000000,0,0,0,1,
