map
	ez_square2
end

values
	1.87991900,3.88397800,4.06804000,8.12291300,30.31998000,297.28000000,0,0,1,0,
	1.88473900,3.88397800,4.06804000,8.12291300,30.23998000,297.44000000,0,0,1,0,
	1.89062500,3.88397800,4.06804000,8.12291300,30.15998000,297.60000000,0,0,1,0,
	1.89687300,3.72871200,4.14024000,8.22103600,30.07998000,297.92000000,0,0,1,0,
	1.90549600,3.72871200,4.14024000,8.22103600,29.99998000,298.32000000,0,0,1,0,
	1.91188800,3.72871200,4.14024000,8.22103600,29.91998000,299.28000000,0,0,1,0,
	1.91886600,3.57683900,4.20604000,8.32518100,29.83998000,300.08000000,0,0,1,0,
	1.92872100,3.57683900,4.20604000,8.32518100,29.75998000,301.36000000,0,0,1,0,
	1.93345100,3.57683900,4.20604000,8.32518100,29.67998000,303.36000000,0,0,1,0,
	1.94235400,3.43252800,4.26544000,8.44096100,29.67998000,304.40000000,0,0,1,0,
	1.95169100,3.43252800,4.26544000,8.44096100,29.59999000,306.00000000,0,0,1,0,
