map
	ez_athletic
end

values
	0.72219560,-19.04474000,-4.06420100,48.07613000,33.90031000,301.50220000,0,0,1,0,
	0.72676070,-19.19452000,-3.97280100,48.18434000,33.90031000,301.50220000,0,0,1,0,
	0.73063920,-19.19452000,-3.97280100,48.18434000,33.90031000,301.57730000,0,0,1,0,
	0.73737810,-19.19452000,-3.97280100,48.18434000,33.82530000,301.65230000,0,0,1,0,
	0.74253120,-19.19452000,-3.97280100,48.18434000,33.82530000,301.80230000,0,0,1,0,
	0.74685310,-19.34354000,-3.88780100,48.29379000,33.82530000,301.95230000,0,0,1,0,
	0.75140420,-19.34354000,-3.88780100,48.29379000,33.82530000,302.10240000,0,0,1,0,
	0.75693430,-19.34354000,-3.88780100,48.29379000,33.82530000,302.32730000,0,0,1,0,
	0.76150110,-19.34354000,-3.88780100,48.29379000,33.75031000,302.55230000,0,0,1,0,
	0.76533300,-19.49113000,-3.80920100,48.40547000,33.75031000,302.77730000,0,0,1,0,
	0.77158570,-19.49113000,-3.80920100,48.40547000,33.75031000,302.92730000,0,0,1,0,
	0.77599200,-19.49113000,-3.80920100,48.40547000,33.67530000,303.22730000,0,0,1,0,
	0.77981930,-19.49113000,-3.80920100,48.40547000,33.67530000,303.45230000,0,0,1,0,
	0.78474280,-19.63713000,-3.73700100,48.51958000,33.60031000,303.67720000,0,0,1,0,
	0.79156290,-19.63713000,-3.73700100,48.51958000,33.60031000,303.90220000,0,0,1,0,
	0.79656240,-19.63713000,-3.73700100,48.51958000,33.60030000,304.27720000,0,0,1,0,
	0.80216180,-19.63713000,-3.73700100,48.51958000,33.52530000,304.57720000,0,0,1,0,
	0.80766650,-19.78094000,-3.67120100,48.63688000,33.52530000,304.87720000,0,0,1,0,
	0.81301970,-19.78094000,-3.67120100,48.63688000,33.52530000,305.25220000,0,0,1,0,
	0.81743490,-19.78094000,-3.67120100,48.63688000,33.52530000,305.62720000,0,0,1,0,
	0.82245740,-19.78094000,-3.67120100,48.63688000,33.52530000,305.92720000,0,0,1,0,
	0.82797120,-19.92206000,-3.61180100,48.75792000,33.52530000,306.30220000,0,0,1,0,
	0.83405640,-19.92206000,-3.61180100,48.75792000,33.52530000,306.75220000,0,0,1,0,
	0.83946040,-19.92206000,-3.61180100,48.75792000,33.45031000,307.20220000,0,0,1,0,
	0.84583890,-20.06053000,-3.55880100,48.88245000,33.45030000,307.65220000,0,0,1,0,
	0.85174410,-20.06053000,-3.55880100,48.88245000,33.45030000,308.10220000,0,0,1,0,
	0.85616960,-20.06053000,-3.55880100,48.88245000,33.45030000,308.70220000,0,0,1,0,
	0.86237940,-20.06053000,-3.55880100,48.88245000,33.45029000,309.15220000,0,0,1,0,
	0.86902830,-20.19472000,-3.51220100,49.01227000,33.45029000,309.75220000,0,0,1,0,
	0.87458980,-20.19472000,-3.51220100,49.01227000,33.45030000,310.42720000,0,0,1,0,
	0.87954110,-20.19472000,-3.51220100,49.01227000,33.45029000,311.10210000,0,0,1,0,
	0.88350050,-20.32490000,-3.47200100,49.14669000,33.45029000,311.62720000,0,0,1,0,
	0.89024070,-20.32490000,-3.47200100,49.14669000,33.45030000,312.00220000,0,0,1,0,
	0.89581590,-20.32490000,-3.47200100,49.14669000,33.52530000,312.90220000,0,0,1,0,
	0.90259180,-20.32490000,-3.47200100,49.14669000,33.52530000,313.72720000,0,0,1,0,
	0.90751380,-20.44904000,-3.43820100,49.28752000,33.52530000,314.32720000,0,0,1,0,
	0.91269400,-20.44904000,-3.43820100,49.28752000,33.52530000,315.00220000,0,0,1,0,
	0.91625390,-20.44904000,-3.43820100,49.28752000,33.52530000,315.60210000,0,0,1,0,
	0.92140980,-20.44904000,-3.43820100,49.28752000,33.52530000,316.05220000,0,0,1,0,
	0.92764900,-20.56755000,-3.41080100,49.43382000,33.52530000,316.72720000,0,0,1,0,
	0.93313190,-20.56755000,-3.41080100,49.43382000,33.52530000,317.47720000,0,0,1,0,
	0.94059600,-20.56755000,-3.41080100,49.43382000,33.52530000,318.15220000,0,0,1,0,
	0.94551550,-20.68017000,-3.38980200,49.58535000,33.52530000,319.12710000,0,0,1,0,
	0.95110450,-20.68017000,-3.38980200,49.58535000,33.52530000,319.72710000,0,0,1,0,
	0.95659210,-20.68017000,-3.38980200,49.58535000,33.52530000,320.55210000,0,0,1,0,
	0.96167740,-20.68017000,-3.38980200,49.58535000,33.52530000,321.22710000,0,0,1,0,
	0.96927930,-20.78551000,-3.37520100,49.74280000,33.52530000,321.97710000,0,0,1,0,
	0.97407450,-20.78551000,-3.37520100,49.74280000,33.52530000,323.17710000,0,0,1,0,
	0.97992990,-20.78551000,-3.37520100,49.74280000,33.52530000,323.77710000,0,0,1,0,
	0.98434100,-20.88325000,-3.36700200,49.90580000,33.52530000,324.82710000,0,0,1,0,
	0.98960440,-20.88325000,-3.36700200,49.90580000,33.52530000,325.35210000,0,0,1,0,
	0.99421810,-20.88325000,-3.36700200,49.90580000,33.52530000,326.32710000,0,0,1,0,
	0.99906100,-20.88325000,-3.36700200,49.90580000,33.52530000,327.07710000,0,0,1,0,
	1.00431600,-20.97268000,-3.36520100,50.07424000,33.52530000,327.82710000,0,0,1,0,
	1.00897800,-20.97268000,-3.36520100,50.07424000,33.45030000,328.72710000,0,0,1,0,
	1.01434300,-20.97268000,-3.36520100,50.07424000,33.45030000,329.47710000,0,0,1,0,
	1.02091300,-20.97268000,-3.36520100,50.07424000,33.45030000,330.22710000,0,0,1,0,
	1.02558600,-21.05172000,-3.36980200,50.24866000,33.37530000,331.42710000,0,0,1,0,
	1.03267300,-21.05172000,-3.36980200,50.24866000,33.37530000,331.95210000,0,0,1,0,
	1.03945800,-21.05172000,-3.36980200,50.24866000,33.37530000,333.15210000,0,0,1,0,
	1.04543100,-21.12181000,-3.38080100,50.42754000,33.37530000,334.42720000,0,0,1,0,
	1.05476700,-21.12181000,-3.38080100,50.42754000,33.37530000,335.70220000,0,0,1,0,
	1.07832500,-21.18313000,-3.39820100,50.61023000,33.37530000,337.27720000,0,0,1,0,
	1.08863900,-21.22861000,-3.42200100,50.79799000,33.30030000,342.22720000,0,0,1,0,
	1.10113500,-21.22861000,-3.42200100,50.79799000,33.22530000,344.40220000,0,0,1,0,
	1.11181700,-21.25792000,-3.45220100,50.98979000,33.22530000,347.17720000,0,0,1,0,
	1.12263700,-21.25792000,-3.45220100,50.98979000,33.22530000,349.57730000,0,0,1,0,
	1.12862500,-21.27194000,-3.48880100,51.18413000,33.30030000,351.75230000,0,0,1,0,
	1.13472200,-21.27194000,-3.48880100,51.18413000,33.45031000,352.87720000,0,0,1,0,
	1.14040500,-21.27194000,-3.48880100,51.18413000,33.45030000,352.95220000,0,0,1,0,
	1.14565900,-21.28192000,-3.53180100,51.37897000,33.45030000,352.95220000,0,0,1,0,
	1.15158300,-21.28192000,-3.53180100,51.37897000,33.45030000,352.95220000,0,0,1,0,
	1.15594900,-21.28192000,-3.53180100,51.37897000,33.45030000,352.95220000,0,0,1,0,
	1.16031800,-21.28192000,-3.53180100,51.37897000,33.45030000,352.95220000,0,0,1,0,
	1.16525400,-21.29190000,-3.58120200,51.57381000,33.45030000,352.95220000,0,0,1,0,
	1.16945800,-21.29190000,-3.58120200,51.57381000,33.45030000,352.95220000,0,0,1,0,
	1.17488800,-21.29190000,-3.58120200,51.57381000,33.45030000,352.95220000,0,0,1,0,
	1.18032300,-21.29190000,-3.58120200,51.57381000,33.45030000,352.95220000,0,0,1,0,
	1.18471200,-21.30188000,-3.63700200,51.76865000,33.45030000,352.95220000,0,0,1,0,
	1.18993100,-21.30188000,-3.63700200,51.76865000,33.45030000,352.95220000,0,0,1,0,
	1.19527600,-21.30188000,-3.63700200,51.76865000,33.45030000,352.95220000,0,0,1,0,
	1.20123800,-21.30188000,-3.63700200,51.76865000,33.45030000,352.95220000,0,0,1,0,
	1.20583800,-21.31186000,-3.69920200,51.96349000,33.45030000,352.95220000,0,0,1,0,
	1.21069300,-21.31186000,-3.69920200,51.96349000,33.45030000,352.95220000,0,0,1,0,
	1.21598900,-21.31186000,-3.69920200,51.96349000,33.45030000,352.95220000,0,0,1,0,
	1.22087300,-21.31186000,-3.69920200,51.96349000,33.45030000,352.95220000,0,0,1,0,
	1.22537800,-21.32184000,-3.76780200,52.15833000,33.45030000,352.95220000,0,0,1,0,
	1.23210000,-21.32184000,-3.76780200,52.15833000,33.45030000,352.95220000,0,0,1,0,
	1.23669000,-21.32184000,-3.76780200,52.15833000,33.45030000,352.95220000,0,0,1,0,
	1.24109900,-21.32184000,-3.76780200,52.15833000,33.45030000,352.95220000,0,0,1,0,
	1.24513400,-21.33183000,-3.84280200,52.35316000,33.45030000,352.95220000,0,0,1,0,
	1.25032700,-21.33183000,-3.84280200,52.35316000,33.45030000,352.95220000,0,0,1,0,
	1.25410000,-21.33183000,-3.84280200,52.35316000,33.45030000,352.95220000,0,0,1,0,
	1.25831000,-21.33183000,-3.84280200,52.35316000,33.45030000,352.95220000,0,0,1,0,
	1.26321400,-21.34181000,-3.92420100,52.54800000,33.45030000,352.95220000,0,0,1,0,
	1.26930300,-21.34181000,-3.92420100,52.54800000,33.45030000,352.95220000,0,0,1,0,
	1.27382000,-21.34181000,-3.92420100,52.54800000,33.45030000,352.95220000,0,0,1,0,
	1.28041400,-21.34181000,-3.92420100,52.54800000,33.45030000,352.95220000,0,0,1,0,
	1.28444500,-21.35179000,-4.01200200,52.74284000,33.45030000,352.95220000,0,0,1,0,
	1.29002200,-21.35179000,-4.01200200,52.74284000,33.45030000,352.95220000,0,0,1,0,
	1.29469600,-21.35179000,-4.01200200,52.74284000,33.45030000,352.95220000,0,0,1,0,
	1.29865200,-21.35179000,-4.01200200,52.74284000,33.45030000,352.95220000,0,0,1,0,
	1.30352100,-21.36177000,-4.01456000,52.93768000,33.45030000,352.95220000,0,0,1,0,
	1.30998900,-21.36177000,-4.01456000,52.93768000,33.45030000,352.95220000,0,0,1,0,
	1.31440100,-21.36177000,-4.01456000,52.93768000,33.45030000,352.95220000,0,0,1,0,
	1.31893500,-21.36177000,-4.01456000,52.93768000,33.45030000,352.95220000,0,0,1,0,
	1.32246700,-21.36177000,-4.01456000,52.93768000,33.45030000,352.95220000,0,0,1,0,
	1.32620300,-21.37175000,-3.90396000,53.13252000,33.45030000,352.95220000,0,0,1,0,
	1.33006600,-21.37175000,-3.90396000,53.13252000,33.45030000,352.95220000,0,0,1,0,
	1.33339800,-21.37175000,-3.90396000,53.13252000,33.45030000,352.95220000,0,0,1,0,
	1.33837700,-21.37175000,-3.90396000,53.13252000,33.45030000,352.95220000,0,0,1,0,
	1.34131000,-21.37175000,-3.90396000,53.13252000,33.45030000,352.95220000,0,0,1,0,
	1.34458000,-21.38173000,-3.79976000,53.32736000,33.45030000,352.95220000,0,0,1,0,
	1.34801900,-21.38173000,-3.79976000,53.32736000,33.45030000,352.95220000,0,0,1,0,
	1.35136300,-21.38173000,-3.79976000,53.32736000,33.45030000,352.95220000,0,0,1,0,
	1.35425800,-21.38173000,-3.79976000,53.32736000,33.45030000,352.95220000,0,0,1,0,
	1.35721800,-21.38173000,-3.79976000,53.32736000,33.45030000,352.95220000,0,0,1,0,
	1.36052400,-21.38173000,-3.79976000,53.32736000,33.45030000,352.95220000,0,0,1,0,
	1.37040500,-21.39171000,-3.70196000,53.52220000,33.45030000,352.95220000,0,0,1,0,
	1.37583800,-21.39171000,-3.70196000,53.52220000,33.45031000,353.10230000,0,0,1,0,
	1.38028800,-21.39171000,-3.70196000,53.52220000,33.37530000,353.70230000,0,0,1,0,
	1.38445500,-21.39789000,-3.61056000,53.71746000,33.30030000,354.07730000,0,0,1,0,
	1.38917100,-21.39789000,-3.61056000,53.71746000,33.30029000,354.45230000,0,0,1,0,
	1.39292100,-21.39789000,-3.61056000,53.71746000,33.22529000,354.90230000,0,0,1,0,
	1.39614300,-21.39789000,-3.61056000,53.71746000,33.15030000,355.20230000,0,0,1,0,
	1.40043100,-21.39789000,-3.61056000,53.71746000,33.15030000,355.20230000,0,0,1,0,
	1.40348700,-21.40026000,-3.52556000,53.91306000,33.15030000,355.20230000,0,0,1,0,
	1.40775500,-21.40026000,-3.52556000,53.91306000,33.15030000,355.20230000,0,0,1,0,
	1.41092500,-21.40026000,-3.52556000,53.91306000,33.15030000,355.20230000,0,0,1,0,
	1.41456900,-21.40026000,-3.52556000,53.91306000,33.15030000,355.20230000,0,0,1,0,
	1.41811700,-21.40026000,-3.52556000,53.91306000,33.15030000,355.20230000,0,0,1,0,
	1.42224200,-21.40026000,-3.52556000,53.91306000,33.15030000,355.20230000,0,0,1,0,
	1.42512000,-21.40263000,-3.44696000,54.10865000,33.15030000,355.20230000,0,0,1,0,
	1.43119000,-21.40263000,-3.44696000,54.10865000,33.15030000,355.20230000,0,0,1,0,
	1.43613300,-21.40263000,-3.44696000,54.10865000,33.15030000,355.80220000,0,0,1,0,
	1.44001000,-21.40263000,-3.44696000,54.10865000,33.07530000,356.62730000,0,0,1,0,
	1.44524700,-21.39734000,-3.37476000,54.30470000,33.00030000,357.45220000,0,0,1,0,
	1.45013100,-21.39734000,-3.37476000,54.30470000,32.85029000,358.80220000,0,0,1,0,
	1.45389600,-21.39734000,-3.37476000,54.30470000,32.70029000,0.00226034,0,0,1,0,
	1.45851700,-21.39734000,-3.37476000,54.30470000,32.55029000,0.90226070,0,0,1,0,
	1.46504200,-21.37613000,-3.30896000,54.50063000,32.32529000,2.10229800,0,0,1,0,
	1.47030000,-21.37613000,-3.30896000,54.50063000,32.17529000,3.82727600,0,0,1,0,
	1.47403800,-21.37613000,-3.30896000,54.50063000,32.17529000,4.80224400,0,0,1,0,
	1.48127900,-21.37613000,-3.30896000,54.50063000,32.17529000,5.70224500,0,0,1,0,
	1.48647100,-21.33721000,-3.24956000,54.69490000,32.10029000,7.27728600,0,0,1,0,
	1.49199900,-21.33721000,-3.24956000,54.69490000,32.10029000,8.10226400,0,0,1,0,
	1.49597800,-21.33721000,-3.24956000,54.69490000,32.10030000,9.30230000,0,0,1,0,
	1.50099900,-21.33721000,-3.24956000,54.69490000,32.10029000,9.97728700,0,0,1,0,
	1.50837000,-21.28653000,-3.19656000,54.88721000,32.10029000,10.72730000,0,0,1,0,
	1.51329300,-21.28653000,-3.19656000,54.88721000,32.10028000,12.00230000,0,0,1,0,
	1.51723100,-21.28653000,-3.19656000,54.88721000,32.10029000,12.90236000,0,0,1,0,
	1.52312800,-21.22596000,-3.14996000,55.07728000,32.10029000,13.65231000,0,0,1,0,
	1.52826400,-21.22596000,-3.14996000,55.07728000,32.10028000,14.62734000,0,0,1,0,
	1.53344200,-21.22596000,-3.14996000,55.07728000,32.10029000,15.45231000,0,0,1,0,
	1.54116300,-21.22596000,-3.14996000,55.07728000,32.10029000,16.42728000,0,0,1,0,
	1.54549000,-21.15111000,-3.10976000,55.26317000,32.10028000,17.92730000,0,0,1,0,
	1.55042800,-21.15111000,-3.10976000,55.26317000,32.10029000,18.52726000,0,0,1,0,
	1.55513700,-21.15111000,-3.10976000,55.26317000,32.17529000,19.50223000,0,0,1,0,
