map
	ez_horizon
end

values
	0.90904460,-0.32781050,1.66500000,6.47620200,33.14999000,346.42500000,0,0,1,0,
	0.91393850,-0.32781050,1.66500000,6.47620200,33.00000000,346.87500000,0,0,1,0,
	0.91997930,-0.34542480,1.71800000,6.62954600,32.85000000,347.32500000,0,0,1,0,
	0.92652140,-0.34542480,1.71800000,6.62954600,32.70000000,348.00000000,0,0,1,0,
	0.93636860,-0.36210080,1.76460000,6.78307900,32.55000000,348.60000000,0,0,1,0,
	0.96634540,-0.37540440,1.80480000,6.93721400,32.24999000,349.87500000,0,0,1,0,
	0.97309650,-0.37540440,1.80480000,6.93721400,31.49999000,354.45000000,0,0,1,0,
	0.97824700,-0.37319820,1.83860000,7.09278900,31.34999000,355.65000000,0,0,1,0,
	0.98408560,-0.37319820,1.83860000,7.09278900,31.27500000,356.62500000,0,0,1,0,
	0.99081050,-0.37319820,1.83860000,7.09278900,31.19999000,357.90000000,0,0,1,0,
	0.99785270,-0.36103400,1.86600000,7.24869100,31.12499000,359.32500000,0,0,1,0,
	1.00332000,-0.36103400,1.86600000,7.24869100,31.04999000,0.60000540,0,0,1,0,
	1.00888000,-0.36103400,1.86600000,7.24869100,30.97500000,1.87500600,0,0,1,0,
	1.01480700,-0.36103400,1.86600000,7.24869100,30.97500000,3.07500600,0,0,1,0,
	1.02030100,-0.33517930,1.88700000,7.40400200,30.97500000,4.35000600,0,0,1,0,
	1.02639200,-0.33517930,1.88700000,7.40400200,30.89999000,5.55000600,0,0,1,0,
	1.03341100,-0.33517930,1.88700000,7.40400200,30.89999000,6.82500600,0,0,1,0,
	1.04021200,-0.29849820,1.90160000,7.55798300,30.89999000,8.32500700,0,0,1,0,
	1.04510000,-0.29849820,1.90160000,7.55798300,30.89999000,9.82500700,0,0,1,0,
	1.04905100,-0.29849820,1.90160000,7.55798300,30.89999000,10.80001000,0,0,1,0,
	1.05624500,-0.25287040,1.90980000,7.71029500,30.89999000,11.62501000,0,0,1,1,
	1.06560200,-0.25287040,1.90980000,7.71029500,30.89999000,12.97501000,0,0,1,1,
	1.06986300,-0.25287040,1.90980000,7.71029500,30.89999000,14.55001000,0,0,1,1,
	1.07871100,-0.20724270,1.91160000,7.86260700,30.89999000,15.37501000,0,0,0,1,
	1.08636800,-0.20724270,1.91160000,7.86260700,30.89999000,16.72501000,0,0,0,1,
	1.09103800,-0.20724270,1.91160000,7.86260700,30.97500000,17.77501000,0,0,0,1,
	1.09569100,-0.17489380,1.90700000,8.01891000,30.97499000,18.30000000,0,0,0,1,
	1.10099300,-0.17489380,1.90700000,8.01891000,31.04999000,18.90001000,0,0,0,1,
	1.10526400,-0.17489380,1.90700000,8.01891000,31.04999000,19.27501000,0,0,0,1,
	1.10962400,-0.17489380,1.90700000,8.01891000,31.04999000,19.65001000,0,0,0,1,
	1.11395200,-0.17489380,1.90700000,8.01891000,31.12500000,19.87501000,0,0,0,1,
	1.11781200,-0.14254480,1.89600000,8.17521300,31.12499000,20.10001000,0,0,0,1,
	1.12453800,-0.14254480,1.89600000,8.17521300,31.19999000,20.25001000,0,0,0,1,
	1.12885700,-0.14254480,1.89600000,8.17521300,31.27499000,20.40001000,0,0,0,1,
	1.13224100,-0.14254480,1.89600000,8.17521300,31.27499000,20.40001000,0,0,0,1,
	1.13606600,-0.11019580,1.87860000,8.33151500,31.27499000,20.40001000,0,0,0,1,
	1.13936800,-0.11019580,1.87860000,8.33151500,31.27499000,20.40001000,0,0,0,1,
	1.14341100,-0.11019580,1.87860000,8.33151500,31.27499000,20.40001000,0,0,0,1,
	1.14731400,-0.11019580,1.87860000,8.33151500,31.34999000,20.40001000,0,0,0,1,
	1.15195300,-0.11019580,1.87860000,8.33151500,31.42500000,20.32500000,0,0,0,1,
	1.15635300,-0.07784687,1.85480000,8.48781800,31.49999000,20.17500000,0,0,0,1,
	1.16229900,-0.07784687,1.85480000,8.48781800,31.57500000,20.02501000,0,0,0,1,
	1.16849800,-0.07784687,1.85480000,8.48781800,31.72500000,19.80000000,0,0,0,1,
	1.17388100,-0.07784687,1.85480000,8.48781800,31.79999000,19.42500000,0,0,0,1,
	1.17907200,-0.04549791,1.82460000,8.64412000,31.94999000,18.97501000,0,0,0,1,
	1.18543200,-0.04549791,1.82460000,8.64412000,32.02500000,18.52501000,0,0,0,1,
	1.19094200,-0.04549791,1.82460000,8.64412000,32.17500000,18.00001000,0,0,0,1,
