map
	ez_nostalgia
end

values
	1.32993500,4.90232800,1.90980000,321.96200000,20.77499000,284.84970000,0,0,0,1,
	1.33577200,4.74472100,1.91160000,321.98780000,20.77499000,284.32470000,0,0,0,1,
	1.34325700,4.74472100,1.91160000,321.98780000,20.84999000,283.72470000,0,0,0,1,
	1.34829800,4.74472100,1.91160000,321.98780000,20.92499000,282.97470000,0,0,0,1,
	1.35395000,4.58593700,1.90700000,322.00850000,20.92499000,282.44970000,0,0,0,1,
	1.36052400,4.58593700,1.90700000,322.00850000,20.92500000,281.77470000,0,0,0,1,
	1.36555100,4.58593700,1.90700000,322.00850000,21.00000000,281.02470000,0,0,0,1,
	1.37130600,4.58593700,1.90700000,322.00850000,20.99999000,280.49970000,0,0,0,1,
	1.37779300,4.42574700,1.89600000,322.02180000,21.07500000,279.74970000,0,0,0,1,
	1.38407200,4.42574700,1.89600000,322.02180000,21.15000000,278.92470000,0,0,0,1,
	1.38976900,4.42574700,1.89600000,322.02180000,21.15000000,278.17470000,0,0,0,1,
	1.39528500,4.26460500,1.87860000,322.02850000,21.22500000,277.34970000,0,0,0,1,
	1.40051200,4.26460500,1.87860000,322.02850000,21.22500000,276.74970000,0,0,0,1,
	1.40762300,4.26460500,1.87860000,322.02850000,21.30000000,276.07470000,0,0,0,1,
	1.41446100,4.10280600,1.85480000,322.02870000,21.37500000,275.02470000,0,0,0,1,
	1.42001300,4.10280600,1.85480000,322.02870000,21.45000000,274.12470000,0,0,0,1,
	1.42613400,4.10280600,1.85480000,322.02870000,21.45000000,273.22470000,0,0,0,1,
	1.43357400,3.94057800,1.82460000,322.02130000,21.52500000,272.32470000,0,0,0,1,
	1.44037800,3.94057800,1.82460000,322.02130000,21.60000000,271.19970000,0,0,0,1,
	1.44616800,3.94057800,1.82460000,322.02130000,21.67500000,270.14970000,0,0,0,1,
	1.45183200,3.94057800,1.82460000,322.02130000,21.75001000,269.24980000,0,0,0,1,
	1.45782400,3.77838400,1.78800000,322.00260000,21.75000000,268.34980000,0,0,0,1,
	1.46321200,3.77838400,1.78800000,322.00260000,21.90000000,267.37480000,0,0,0,1,
	1.46876900,3.77838400,1.78800000,322.00260000,21.90000000,266.62480000,0,0,0,1,
	1.47412200,3.61665200,1.74500000,321.97630000,21.97501000,265.64970000,0,0,0,1,
	1.47991600,3.61665200,1.74500000,321.97630000,22.05001000,264.89970000,0,0,0,1,
	1.48544100,3.61665200,1.74500000,321.97630000,22.12501000,263.99980000,0,0,0,1,
	1.49036400,3.61665200,1.74500000,321.97630000,22.12501000,263.39970000,0,0,0,1,
