map
	ez_athletic
end

values
	1.13365500,-21.54649000,18.56055000,49.62035000,29.32514000,171.52540000,0,0,1,0,
	1.13916300,-21.54649000,18.56055000,49.62035000,29.32514000,171.52540000,0,0,1,0,
	1.14520700,-21.51979000,18.52247000,49.44716000,29.25014000,171.52540000,0,0,1,0,
	1.14943100,-21.51979000,18.52247000,49.44716000,29.25014000,171.45040000,0,0,1,0,
	1.15410000,-21.51979000,18.52247000,49.44716000,29.25014000,171.45040000,0,0,1,0,
	1.15882700,-21.51979000,18.52247000,49.44716000,29.25014000,171.45040000,0,0,1,0,
	1.16247300,-21.51979000,18.52247000,49.44716000,29.25014000,171.45040000,0,0,1,0,
	1.16788200,-21.50334000,18.49118000,49.26928000,29.25014000,171.45040000,0,0,1,0,
	1.17398900,-21.50334000,18.49118000,49.26928000,29.17514000,171.45040000,0,0,1,0,
	1.17755200,-21.50334000,18.49118000,49.26928000,29.17514000,171.45040000,0,0,1,0,
	1.18224200,-21.50334000,18.49118000,49.26928000,29.17514000,171.45040000,0,0,1,0,
	1.18771500,-21.48714000,18.45938000,49.08996000,29.17514000,171.45040000,0,0,1,0,
	1.19483000,-21.48714000,18.45938000,49.08996000,29.17514000,171.45040000,0,0,1,0,
	1.19944200,-21.48714000,18.45938000,49.08996000,29.17514000,171.45040000,0,0,1,0,
	1.20361400,-21.48714000,18.45938000,49.08996000,29.17514000,171.45040000,0,0,1,0,
	1.20803200,-21.47079000,18.42719000,48.90923000,29.17514000,171.45040000,0,0,1,0,
	1.21163300,-21.47079000,18.42719000,48.90923000,29.17514000,171.45040000,0,0,1,0,
	1.21630900,-21.47079000,18.42719000,48.90923000,29.17514000,171.45040000,0,0,1,0,
	1.22018900,-21.47079000,18.42719000,48.90923000,29.17514000,171.45040000,0,0,1,0,
	1.22429200,-21.45425000,18.39465000,48.72708000,29.17514000,171.45040000,0,0,1,0,
	1.22919300,-21.45425000,18.39465000,48.72708000,29.17514000,171.45040000,0,0,1,0,
	1.23234600,-21.45425000,18.39465000,48.72708000,29.17514000,171.45040000,0,0,1,0,
	1.23708200,-21.45425000,18.39465000,48.72708000,29.17514000,171.45040000,0,0,1,0,
	1.24124000,-21.45425000,18.39465000,48.72708000,29.17514000,171.45040000,0,0,1,0,
	1.24498700,-21.43758000,18.36186000,48.54349000,29.17514000,171.45040000,0,0,1,0,
	1.25000700,-21.43758000,18.36186000,48.54349000,29.17514000,171.45040000,0,0,1,0,
	1.25441400,-21.43758000,18.36186000,48.54349000,29.17514000,171.45040000,0,0,1,0,
	1.25880700,-21.43758000,18.36186000,48.54349000,29.17514000,171.45040000,0,0,1,0,
	1.26325500,-21.43758000,18.36186000,48.54349000,29.17514000,171.45040000,0,0,1,0,
	1.26662100,-21.42069000,18.32873000,48.35849000,29.17514000,171.45040000,0,0,1,0,
	1.27180100,-21.42069000,18.32873000,48.35849000,29.17514000,171.45040000,0,0,1,0,
	1.27603600,-21.42069000,18.32873000,48.35849000,29.17514000,171.45040000,0,0,1,0,
	1.28001600,-21.42069000,18.32873000,48.35849000,29.17514000,171.45040000,0,0,1,0,
	1.28531700,-21.40352000,18.29518000,48.17210000,29.17514000,171.45040000,0,0,1,0,
	1.29029700,-21.40352000,18.29518000,48.17210000,29.17514000,171.45040000,0,0,1,0,
	1.29402600,-21.40352000,18.29518000,48.17210000,29.17514000,171.45040000,0,0,1,0,
	1.29899200,-21.40352000,18.29518000,48.17210000,29.17514000,171.45040000,0,0,1,0,
	1.30236700,-21.40352000,18.29518000,48.17210000,29.17514000,171.45040000,0,0,1,0,
	1.30671500,-21.38621000,18.26137000,47.98427000,29.17514000,171.45040000,0,0,1,0,
	1.31143700,-21.38621000,18.26137000,47.98427000,29.17514000,171.45040000,0,0,1,0,
	1.31488200,-21.38621000,18.26137000,47.98427000,29.17514000,171.45040000,0,0,1,0,
	1.31953300,-21.38621000,18.26137000,47.98427000,29.17514000,171.45040000,0,0,1,0,
	1.32260600,-21.38621000,18.26137000,47.98427000,29.17514000,171.45040000,0,0,1,0,
	1.32743300,-21.36869000,18.22723000,47.79502000,29.17514000,171.45040000,0,0,1,0,
	1.33210600,-21.36869000,18.22723000,47.79502000,29.17514000,171.45040000,0,0,1,0,
	1.33580500,-21.36869000,18.22723000,47.79502000,29.17514000,171.45040000,0,0,1,0,
	1.34020900,-21.36869000,18.22723000,47.79502000,29.17514000,171.45040000,0,0,1,0,
	1.34332500,-21.36869000,18.22723000,47.79502000,29.17514000,171.45040000,0,0,1,0,
	1.34768700,-21.35096000,18.19275000,47.60436000,29.17514000,171.45040000,0,0,1,0,
	1.35209100,-21.35096000,18.19275000,47.60436000,29.17514000,171.45040000,0,0,1,0,
	1.35613500,-21.35096000,18.19275000,47.60436000,29.17514000,171.45040000,0,0,1,0,
	1.36246800,-21.35096000,18.19275000,47.60436000,29.17514000,171.45040000,0,0,1,0,
	1.36672200,-21.33294000,18.15785000,47.41232000,29.17514000,171.45040000,0,0,1,0,
	1.37049300,-21.33294000,18.15785000,47.41232000,29.17514000,171.45040000,0,0,1,0,
	1.37491400,-21.33294000,18.15785000,47.41232000,29.17514000,171.45040000,0,0,1,0,
	1.37804200,-21.33294000,18.15785000,47.41232000,29.17514000,171.45040000,0,0,1,0,
	1.38293900,-21.33294000,18.15785000,47.41232000,29.17514000,171.45040000,0,0,1,0,
	1.38683400,-21.31478000,18.12270000,47.21883000,29.17514000,171.45040000,0,0,1,0,
	1.39141400,-21.31478000,18.12270000,47.21883000,29.17514000,171.45040000,0,0,1,0,
	1.39573800,-21.31478000,18.12270000,47.21883000,29.17514000,171.45040000,0,0,1,0,
	1.39896300,-21.31478000,18.12270000,47.21883000,29.17514000,171.45040000,0,0,1,0,
	1.40388400,-21.29633000,18.08713000,47.02396000,29.17514000,171.45040000,0,0,1,0,
	1.41060400,-21.29633000,18.08713000,47.02396000,29.17514000,171.45040000,0,0,1,0,
	1.41551400,-21.29633000,18.08713000,47.02396000,29.10014000,171.45040000,0,0,1,0,
	1.41912900,-21.29633000,18.08713000,47.02396000,29.02514000,171.45040000,0,0,1,0,
	1.42442600,-21.27766000,18.05122000,46.82768000,29.02514000,171.45040000,0,0,1,0,
	1.42893200,-21.27766000,18.05122000,46.82768000,28.95014000,171.45040000,0,0,1,0,
	1.43333400,-21.27766000,18.05122000,46.82768000,28.95014000,171.45040000,0,0,1,0,
	1.43875700,-21.27766000,18.05122000,46.82768000,28.87513000,171.45040000,0,0,1,0,
	1.44292800,-21.27766000,18.05122000,46.82768000,28.87513000,171.45040000,0,0,1,0,
	1.44719000,-21.25887000,18.01505000,46.62996000,28.87513000,171.45040000,0,0,1,0,
	1.45327300,-21.25887000,18.01505000,46.62996000,28.80013000,171.45040000,0,0,1,0,
	1.45801700,-21.25887000,18.01505000,46.62996000,28.72514000,171.45040000,0,0,1,0,
	1.46269300,-21.25887000,18.01505000,46.62996000,28.72514000,171.45040000,0,0,1,0,
	1.46922800,-21.23978000,17.97847000,46.43085000,28.65014000,171.45040000,0,0,1,0,
	1.47462600,-21.23978000,17.97847000,46.43085000,28.57514000,171.52540000,0,0,1,0,
	1.48002700,-21.23978000,17.97847000,46.43085000,28.50013000,171.52540000,0,0,1,0,
	1.48598600,-21.22052000,17.94160000,46.23032000,28.42513000,171.52540000,0,0,1,0,
	1.49150500,-21.22052000,17.94160000,46.23032000,28.35013000,171.60040000,0,0,1,0,
	1.49605000,-21.22052000,17.94160000,46.23032000,28.27513000,171.60040000,0,0,1,0,
