map
	ez_flyer
end

values
	0.82561810,-0.24048920,0.90000000,-81.56880000,23.14999000,352.35000000,1,0,0,0,
	0.83121990,-0.24048920,0.90000000,-81.56880000,23.25000000,352.30000000,1,0,0,0,
	0.83782240,-0.25695200,0.89999990,-81.41563000,23.45000000,352.25000000,1,0,0,0,
	0.84489470,-0.25695200,0.89999990,-81.41563000,23.65000000,352.20000000,1,0,0,0,
	0.85102110,-0.25695200,0.89999990,-81.41563000,23.90000000,352.15000000,1,0,0,0,
	0.85798000,-0.27381950,0.90000000,-81.26249000,24.10000000,352.05000000,1,0,0,0,
	0.86510150,-0.27381950,0.90000000,-81.26249000,24.35000000,352.00000000,1,0,0,0,
	0.87048260,-0.27381950,0.90000000,-81.26249000,24.60000000,351.95000000,1,0,0,0,
	0.87465340,-0.27381950,0.90000000,-81.26249000,24.80000000,351.85000000,1,0,0,0,
	0.88311870,-0.29118450,0.89999990,-81.10940000,24.95000000,351.80000000,1,0,0,0,
	0.88865360,-0.29118450,0.89999990,-81.10940000,25.25000000,351.75000000,1,0,0,0,
	0.89339940,-0.29118450,0.89999990,-81.10940000,25.45000000,351.70000000,1,0,0,0,
	0.89859940,-0.30895570,0.90000000,-80.95635000,25.65000000,351.60000000,1,0,0,0,
	0.90434110,-0.30895570,0.90000000,-80.95635000,25.80000000,351.55000000,1,0,0,0,
	0.91242360,-0.30895570,0.90000000,-80.95635000,26.05000000,351.50000000,1,0,0,0,
	0.91649050,-0.30895570,0.90000000,-80.95635000,26.35000000,351.40000000,1,0,0,0,
	0.92178610,-0.32724790,0.89999990,-80.80336000,26.50000000,351.35000000,1,0,0,0,
	0.92954270,-0.32724790,0.89999990,-80.80336000,26.75000000,351.25000000,1,0,0,0,
	0.93513010,-0.32724790,0.89999990,-80.80336000,27.00000000,351.15000000,1,0,0,0,
	0.94272940,-0.34598530,0.90000000,-80.65042000,27.25000000,351.10000000,1,0,0,0,
	0.95007120,-0.34598530,0.90000000,-80.65042000,27.55000000,350.95000000,1,0,0,1,
	0.95747150,-0.34598530,0.90000000,-80.65042000,27.85000000,350.85000000,1,0,0,1,
	0.96287940,-0.37659880,0.89999990,-80.49821000,28.10000000,350.80000000,1,0,0,1,
	0.96930060,-0.37659880,0.89999990,-80.49821000,28.34999000,350.65000000,1,0,0,1,
	0.97545770,-0.37659880,0.89999990,-80.49821000,28.55000000,350.55000000,1,0,0,1,
