map
	ez_training
end

values
	0.57818600,8.07200100,0.90000000,11.54112000,21.14999000,181.00020000,1,0,0,0,
	0.58118740,8.07200100,0.90000000,11.54112000,21.14999000,181.00020000,1,0,0,0,
	0.58471830,8.07200100,0.90000000,11.54112000,21.14999000,181.00020000,1,0,0,0,
	0.58810480,8.06895400,0.90000000,11.38715000,21.14999000,181.00020000,1,0,0,0,
	0.59190170,8.06895400,0.90000000,11.38715000,21.14999000,181.00020000,1,0,0,0,
	0.59499040,8.06895400,0.90000000,11.38715000,21.14999000,181.00020000,1,0,0,0,
	0.59856680,8.06895400,0.90000000,11.38715000,21.14999000,181.00020000,1,0,0,0,
	0.60393930,8.06895400,0.90000000,11.38715000,21.14999000,181.00020000,1,0,0,0,
	0.60706630,8.06594100,0.90000000,11.23318000,21.19999000,180.95020000,1,0,0,0,
	0.61082960,8.06594100,0.90000000,11.23318000,21.19999000,180.95020000,1,0,0,0,
	0.61355930,8.06594100,0.90000000,11.23318000,21.19999000,180.95020000,1,0,0,0,
	0.61807500,8.06594100,0.90000000,11.23318000,21.19999000,180.95020000,1,0,0,0,
	0.62262200,8.06594100,0.90000000,11.23318000,21.19999000,180.95020000,1,0,0,0,
	0.62686050,8.06296800,0.90000000,11.07921000,21.19999000,180.90020000,1,0,0,0,
	0.63187920,8.06296800,0.90000000,11.07921000,21.24999000,180.90020000,1,0,0,0,
	0.63496890,8.06296800,0.90000000,11.07921000,21.24999000,180.85020000,1,0,0,0,
	0.63917300,8.06296800,0.90000000,11.07921000,21.24999000,180.85020000,1,0,0,0,
	0.64179620,8.06296800,0.90000000,11.07921000,21.24999000,180.85020000,1,0,0,0,
	0.64507250,8.06005100,0.90000000,10.92524000,21.24999000,180.85020000,1,0,0,0,
	0.64882210,8.06005100,0.90000000,10.92524000,21.24999000,180.85020000,1,0,0,0,
	0.65248040,8.06005100,0.90000000,10.92524000,21.24999000,180.85020000,1,0,0,0,
	0.65527460,8.06005100,0.90000000,10.92524000,21.24999000,180.85020000,1,0,0,0,
	0.65861610,8.06005100,0.90000000,10.92524000,21.24999000,180.85020000,1,0,0,0,
	0.66189650,8.06005100,0.90000000,10.92524000,21.24999000,180.85020000,1,0,0,0,
	0.66501970,8.05718900,0.90000000,10.77126000,21.24999000,180.85020000,1,0,0,0,
	0.66879130,8.05718900,0.90000000,10.77126000,21.24999000,180.85020000,1,0,0,0,
	0.67204420,8.05718900,0.90000000,10.77126000,21.24999000,180.85020000,1,0,0,0,
	0.67507600,8.05718900,0.90000000,10.77126000,21.24999000,180.85020000,1,0,0,0,
	0.67849360,8.05718900,0.90000000,10.77126000,21.24999000,180.85020000,1,0,0,0,
	0.68126840,8.05718900,0.90000000,10.77126000,21.24999000,180.85020000,1,0,0,0,
	0.68399040,8.05718900,0.90000000,10.77126000,21.24999000,180.85020000,1,0,0,0,
	0.68727950,8.05438300,0.90000000,10.61729000,21.24999000,180.85020000,1,0,0,0,
	0.69197100,8.05438300,0.90000000,10.61729000,21.24999000,180.85020000,1,0,0,0,
	0.69481480,8.05438300,0.90000000,10.61729000,21.24999000,180.85020000,1,0,0,0,
	0.69744030,8.05438300,0.90000000,10.61729000,21.24999000,180.85020000,1,0,0,0,
	0.70047160,8.05438300,0.90000000,10.61729000,21.24999000,180.85020000,1,0,0,0,
	0.70290060,8.05438300,0.90000000,10.61729000,21.24999000,180.85020000,1,0,0,0,
	0.70696720,8.05162000,0.90000000,10.46331000,21.24999000,180.85020000,1,0,0,0,
	0.71059940,8.05162000,0.90000000,10.46331000,21.24999000,180.80020000,1,0,0,0,
	0.71379170,8.05162000,0.90000000,10.46331000,21.24999000,180.80020000,1,0,0,0,
	0.71636470,8.05162000,0.90000000,10.46331000,21.24999000,180.80020000,1,0,0,0,
	0.71896740,8.05162000,0.90000000,10.46331000,21.24999000,180.80020000,1,0,0,0,
	0.72448950,8.05162000,0.90000000,10.46331000,21.24999000,180.80020000,1,0,0,0,
	0.72799470,8.04891500,0.90000000,10.30933000,21.24999000,180.80020000,1,0,0,0,
	0.73127450,8.04891500,0.90000000,10.30933000,21.24999000,180.80020000,1,0,0,0,
	0.73449370,8.04891500,0.90000000,10.30933000,21.24999000,180.80020000,1,0,0,0,
	0.73750230,8.04891500,0.90000000,10.30933000,21.24999000,180.80020000,1,0,0,0,
	0.74065010,8.04891500,0.90000000,10.30933000,21.24999000,180.80020000,1,0,0,0,
	0.74321780,8.04891500,0.90000000,10.30933000,21.24999000,180.80020000,1,0,0,0,
	0.74562730,8.04625500,0.90000000,10.15536000,21.24999000,180.80020000,1,0,0,0,
	0.74959630,8.04625500,0.90000000,10.15536000,21.24999000,180.80020000,1,0,0,0,
	0.75463750,8.04625500,0.90000000,10.15536000,21.24999000,180.80020000,1,0,0,0,
	0.75792580,8.04625500,0.90000000,10.15536000,21.24999000,180.80020000,1,0,0,0,
	0.76097110,8.04625500,0.90000000,10.15536000,21.24999000,180.80020000,1,0,0,0,
	0.76447870,8.04625500,0.90000000,10.15536000,21.24999000,180.80020000,1,0,0,0,
	0.76837680,8.04364300,0.90000000,10.00138000,21.24999000,180.80020000,1,0,0,0,
