map
	ez_square
end

values
	0.92974630,55.46642000,2.88700000,3.95834800,28.65000000,10.20001000,0,0,0,1,
	0.93344440,55.46642000,2.88700000,3.95834800,28.72501000,10.12502000,0,0,0,1,
	0.93773700,55.46194000,2.90160000,4.11669900,28.72500000,9.97501800,0,0,0,1,
	0.94226800,55.46194000,2.90160000,4.11669900,28.80000000,9.82501700,0,0,0,1,
	0.94720860,55.46194000,2.90160000,4.11669900,28.87500000,9.60001600,0,0,0,1,
	0.95169930,55.46194000,2.90160000,4.11669900,28.95000000,9.30001400,0,0,0,1,
	0.95546690,55.45746000,2.90980000,4.27504900,29.02500000,8.92501500,0,0,0,1,
	0.95962470,55.45746000,2.90980000,4.27504900,29.10000000,8.62501400,0,0,0,1,
	0.96393020,55.45746000,2.90980000,4.27504900,29.17501000,8.32501500,0,0,0,1,
	0.96894070,55.45746000,2.90980000,4.27504900,29.25001000,7.95001400,0,0,0,1,
	0.97330000,55.45746000,2.90980000,4.27504900,29.32501000,7.50001500,0,0,0,1,
	0.97770610,55.45298000,2.91160000,4.43340000,29.40001000,6.97501400,0,0,0,1,
	0.98193090,55.45298000,2.91160000,4.43340000,29.47501000,6.37501500,0,0,0,1,
	0.98607870,55.45298000,2.91160000,4.43340000,29.55001000,5.92501500,0,0,0,1,
	0.98966000,55.45298000,2.91160000,4.43340000,29.62500000,5.40001600,0,0,0,1,
	0.99346940,55.45298000,2.91160000,4.43340000,29.70001000,4.80001500,0,0,0,1,
	0.99709400,55.44851000,2.90700000,4.59175000,29.77501000,4.20001600,0,0,0,1,
	1.00288600,55.44851000,2.90700000,4.59175000,29.77501000,3.75001600,0,0,0,1,
	1.00768000,55.44851000,2.90700000,4.59175000,29.92501000,2.85001500,0,0,0,1,
	1.01191800,55.44851000,2.90700000,4.59175000,30.00001000,2.02501600,0,0,0,1,
	1.01581600,55.43845000,2.89600000,4.75030400,30.07501000,1.42501500,0,0,0,1,
	1.02022200,55.43845000,2.89600000,4.75030400,30.15001000,0.67501530,0,0,0,1,
	1.02577100,55.43845000,2.89600000,4.75030400,30.22501000,0.00001532,0,0,0,1,
	1.02997900,55.43845000,2.89600000,4.75030400,30.30002000,358.80000000,0,0,0,1,
	1.03491600,55.43845000,2.89600000,4.75030400,30.37502000,357.97500000,0,0,0,1,
	1.03935700,55.41634000,2.87860000,4.90860500,30.52502000,357.07500000,0,0,0,1,
	1.04422000,55.41634000,2.87860000,4.90860500,30.60002000,356.32500000,0,0,0,1,
	1.04885200,55.41634000,2.87860000,4.90860500,30.67502000,355.27500000,0,0,0,1,
	1.05249500,55.41634000,2.87860000,4.90860500,30.75001000,354.30000000,0,0,0,1,
	1.05661000,55.38404000,2.85480000,5.06597200,30.82503000,353.40000000,0,0,0,1,
	1.06077000,55.38404000,2.85480000,5.06597200,30.90002000,352.42500000,0,0,0,1,
	1.06488700,55.38404000,2.85480000,5.06597200,30.90002000,351.60000000,0,0,0,1,
	1.07010700,55.38404000,2.85480000,5.06597200,30.97502000,350.70000000,0,0,0,1,
	1.07408400,55.38404000,2.85480000,5.06597200,31.05002000,349.65000000,0,0,0,1,
	1.07866900,55.33909000,2.82460000,5.22125700,31.05002000,348.82500000,0,0,0,1,
	1.08294500,55.33909000,2.82460000,5.22125700,31.12502000,347.77500000,0,0,0,1,
	1.08702300,55.33909000,2.82460000,5.22125700,31.12502000,346.95000000,0,0,0,1,
	1.09115900,55.33909000,2.82460000,5.22125700,31.20003000,346.20000000,0,0,0,1,
	1.09596600,55.28448000,2.78800000,5.37424200,31.20002000,345.30000000,0,0,0,1,
	1.10183700,55.28448000,2.78800000,5.37424200,31.27503000,344.10000000,0,0,0,1,
	1.10782600,55.28448000,2.78800000,5.37424200,31.27502000,342.82500000,0,0,0,1,
	1.11282000,55.28448000,2.78800000,5.37424200,31.35002000,341.62500000,0,0,0,1,
	1.11785600,55.21712000,2.74500000,5.52316800,31.35003000,340.57500000,0,0,0,1,
	1.12194500,55.21712000,2.74500000,5.52316800,31.35002000,339.67500000,0,0,0,1,
	1.12598600,55.21712000,2.74500000,5.52316800,31.35003000,338.85000000,0,0,0,1,
	1.12971600,55.21712000,2.74500000,5.52316800,31.35003000,338.10000000,0,0,0,1,
	1.13453100,55.21712000,2.74500000,5.52316800,31.35003000,337.20000000,0,0,0,1,
